,date,extend,id,days_from_start,month,day_of_week,cat_id,prate_avg,csdsf_avg,csdlf_avg,csulf_avg,dswrf_avg,dlwrf_avg,uswrf_avg,ulwrf_avg,runof_avg,sst_avg,sf,air_avg,shum_avg,csusf_avg,cslnet_avg,cssnet_avg,lnet_avg,snet_avg
35,1984/12/1,12.9894375,1,2161,12,5,1,2.516336679,242.2856598,262.0860596,245.3955078,193.4808044,286.5996399,52.45623016,347.1949463,6.61E+19,11.79608536,4.8,276.8598328,0.007179082,57.31601715,16.6905518,184.9696427,-60.5953064,141.0245742
36,1985/1/1,14.72486667,1,2192,1,1,1,2.477913141,235.9190063,262.348999,245.8520355,187.3701935,285.3839417,46.19878006,346.911499,6.61E+19,11.79498863,16.3,276.6320496,0.007160861,50.53119278,16.4969635,185.3878135,-61.5275573,141.1714134
37,1985/2/1,15.46571429,1,2223,2,4,1,2.520703316,217.1659241,259.8208923,243.6026154,170.2265625,282.7434692,35.39848709,343.9775696,6.61E+19,11.83788776,14.6,275.6340942,0.007198967,39.55883789,16.2182769,177.6070862,-61.2341004,134.8280754
38,1985/3/1,15.8859375,1,2251,3,4,1,2.507374763,200.6052399,262.0640869,243.2814636,156.2626953,284.9782104,28.09574127,346.0281677,6.61E+19,11.83984089,20.4,275.9665833,0.007340964,32.32599258,18.7826233,168.2792473,-61.0499573,128.166954
39,1985/4/1,15.35653333,1,2282,4,0,1,2.541975498,202.9417114,266.105896,245.0345459,160.6211395,288.9918823,34.3455925,350.7012634,6.61E+19,11.88128376,0.9,277.1544495,0.007438757,38.90540314,21.0713501,164.0363083,-61.7093811,126.275547
40,1985/5/1,14.0734,1,2312,5,2,1,2.594022751,213.7281799,273.1570129,248.392807,170.0802612,297.7740784,40.35869598,359.1047668,6.61E+19,12.05056095,0,279.0067139,0.007710886,46.21276474,24.7642059,167.5154152,-61.3306884,129.7215652
41,1985/6/1,12.21906667,1,2343,6,5,1,2.688630581,218.3131866,280.320343,251.7806396,168.3948669,306.6625977,33.51990509,365.6982422,6.61E+19,12.3013382,0,280.5884094,0.008085579,41.35984039,28.5397034,176.9533462,-59.0356445,134.8749618
42,1985/7/1,9.7445625,1,2373,7,0,1,2.729476213,213.3929443,282.4405518,251.5396271,161.5404816,308.6800232,29.07172203,366.0066833,6.61E+19,12.71528244,0,280.4345093,0.008352149,37.15813446,30.9009247,176.2348098,-57.3266601,132.4687596
43,1985/8/1,7.401866667,1,2404,8,3,1,2.753648758,202.6901398,281.6051941,251.1419678,154.1518402,307.3831177,25.55571556,365.096283,6.61E+19,12.95405293,0,280.2798462,0.008331163,31.92395973,30.4632263,170.7661801,-57.7131653,128.5961246
44,1985/9/1,6.697666667,1,2435,9,6,1,2.68373394,196.1184387,274.0059509,248.3091736,151.3532257,300.1359558,24.25359154,358.8950806,6.61E+19,12.78566265,11,279.0384521,0.007870714,29.02250481,25.6967773,167.0959339,-58.7591248,127.0996342
45,1985/10/1,8.5459375,1,2465,10,1,1,2.60745573,207.7783813,266.285675,245.3302002,163.9704285,290.9624023,34.34345627,351.9248047,6.61E+19,12.3137331,6,277.7182617,0.007424429,38.89392471,20.9554748,168.8844566,-60.9624024,129.6269722
46,1985/11/1,11.02453333,1,2496,11,4,1,2.568195105,230.1449738,262.9572449,244.9536133,184.4456482,287.2149963,48.77687073,348.5880127,6.61E+19,11.937603,22.8,277.0947876,0.007206668,53.66170883,18.0036316,176.483265,-61.3730164,135.6687775
